Time_s,MinimumC,MaximumC,NegativePointCount,TotalMass,PeakX,PeakY,CentroidX,ExpectedX,CentroidY,ExpectedY,SigmaX,SigmaY,TheoreticalSigma,HasNegativeConcentration
10,-0.0141949209580475,0.211990740391598,6946,1.00003510236321,10,50,10.10034138231,10.1,50,50,0.744847381807233,0.64758975164813,0.632455532033676,1
100,-0.000139643092743415,0.0358265559147557,636,0.999999168986821,11,50,10.9995572643835,11,50,50,1.9848329429951,2.00494427497872,2,1
500,-1.52103845913247e-08,0.00777615700476315,503,1.00027932289416,15,50,15.0879856052989,15,49.9999999999999,50,5.96894591691265,4.47435382648195,4.47213595499958,1
1000,-3.35838171295209e-12,0.00393259786555348,34,1.00041700208738,20,50,20.1842595238752,20,50,50,8.39536120522071,6.32612319446674,6.32455532033676,1
2000,-7.50066490081811e-19,0.00197776235039655,0,1.00016027428284,30,50,30.0901141416073,30,50,50,9.64786324593632,8.9453798717723,8.94427190999916,0
4000,5.02783221988108e-21,0.000991790919247394,0,1.00003638186247,50,50,50.0083187864534,50,49.9999999999999,50,12.6845578273745,12.6505585179179,12.6491106406735,0
