Velocity,Peclet,RMSE,MAE,R2,MaxAbsoluteError,MinimumC,NegativePointCount,NumericalMass,AnalyticalMass,NumericalPeak,AnalyticalPeak,NumericalPeakX,NumericalPeakY,AnalyticalPeakX,AnalyticalPeakY,CentroidX,CentroidY,ExpectedCentreX,ExpectedCentreY,CentroidErrorX,SigmaX,SigmaY,TheoreticalSigma,HasNegativeConcentration,Runtime_seconds
0.005,0.25,3.28141342667974e-07,1.09415594633818e-07,0.999995186118795,3.13656941176908e-06,5.2440016257019e-21,0,0.999999999997973,1,0.000991791807649018,0.000994718394324399,30,50,30,50,30.0014042134165,50,30,50,0.00140421341647468,12.6498538271422,12.6483702099501,12.6491106406735,0,88.3047932916667
0.0075,0.375,3.66966006636227e-07,1.23043349357661e-07,0.999993979602885,3.37542422618002e-06,5.01342095129075e-21,0,0.999999999997974,1,0.000991791437422064,0.000994718394324399,40,50,40,50,40.0021063216214,50,40,50,0.00210632162143298,12.6498045106695,12.6483702099501,12.6491106406735,0,88.2519497083333
0.01,0.5,4.15268895842504e-07,1.40495625843827e-07,0.999992290392411,3.6672308470863e-06,5.02783221988108e-21,0,0.999999999997976,1,0.000991790919247394,0.000994718394324399,50,50,50,50,50.0028084316223,50,50,50,0.00280843162232713,12.649735467285,12.6483702099501,12.6491106406735,0,87.75683175
0.0125,0.625,4.7013969330701e-07,1.61114196030964e-07,0.999990118399168,4.00673653470917e-06,5.0307394943376e-21,0,0.999999999997974,1,0.000991790253268003,0.000994718394324399,60,50,60,50,60.0035105440179,50,60,50,0.00351054401788531,12.6496466966663,12.6483702099501,12.6491106406735,0,88.6807255833333
0.015,0.75,5.29543022766514e-07,1.83526371891117e-07,0.999987463509741,4.3687474518292e-06,4.70680111791608e-21,0,0.999999999997973,1,0.000991789439667612,0.000994718394324399,70,50,70,50,70.0042126594068,50,70,50,0.00421265940683213,12.6495381983988,12.6483702099501,12.6491106406735,0,88.2787639166667
