Time_s,RMSE,MAE,R2,MaxAbsoluteError,MinimumC,NegativePointCount,NumericalMass,AnalyticalMass,MassErrorPercent,NumericalPeak,AnalyticalPeak,NumericalPeakX,NumericalPeakY,AnalyticalPeakX,AnalyticalPeakY,NumericalCentroidX,NumericalCentroidY,ExpectedCentroidX,ExpectedCentroidY,HasNegativeConcentration
2000,1.73414979882825e-06,6.32954626572385e-07,0.999978623386692,1.33211531618386e-05,-7.50065594779148e-19,0,2.99999999999697,2.99999999999999,1.01104310109198e-10,0.00199721221514579,0.00200905099342916,45,50,45,50,45.0014042050611,50,45,50,0
3000,9.32064558242872e-07,3.9851027758792e-07,0.999991282575932,6.12242904874478e-06,4.52056808084233e-20,0,2.99999999999544,3,1.51834100847736e-10,0.00139827273288709,0.00140312327260847,55,50,55,50,55.0021063183417,50,55,50,0
4000,6.06718381971976e-07,2.9216547539193e-07,0.999995338192813,3.52464116359723e-06,2.51744311814658e-15,0,2.99999999999393,3,2.02223423192057e-10,0.00113209732106105,0.00113439880338171,65,50,65,50,65.0028084316223,50,65,50,0
