Diffusion,Peclet,RMSE,MAE,R2,MaxAbsoluteError,MinimumC,NegativePointCount,NumericalMass,AnalyticalMass,NumericalPeak,AnalyticalPeak,NumericalPeakX,NumericalPeakY,CentroidX,CentroidY,ExpectedCentreX,ExpectedCentreY,SigmaX,SigmaY,TheoreticalSigma,HasNegativeConcentration,Runtime_seconds
0.002,5,3.4289646069881e-05,3.85388821226787e-06,0.995223894122931,0.000739919052232809,-4.9471380797524e-05,729,0.999999999998995,0.999999999999999,0.00954703861413671,0.00994718394324346,51,50,50.003153152046,50,50,50,3.99974867302532,4.00024749234344,4,1,88.3504194166667
0.005,2,5.78671932516461e-06,1.00947287640101e-06,0.999654682011353,8.89208653777943e-05,-2.83242076138271e-09,221,0.999999999997469,0.999999999999999,0.00392749503822904,0.00397887357729738,50,50,50.0030956982555,50,50,50,6.32463114247366,6.32494664009112,6.32455532033676,1,87.639746875
0.01,1,1.5269661834106e-06,3.71517551647244e-07,0.999950638714366,1.78777602371006e-05,-1.74519973108292e-16,0,1.00000000000302,1,0.00197735560414336,0.00198943678864869,50,50,50.0029999422817,50,50,50,8.94460219935207,8.94482521936621,8.94427190999916,0,88.2117390416667
0.015,0.666666666666667,7.09765350370141e-07,2.09394081906587e-07,0.99998356779027,7.04428529981643e-06,-1.10437695649501e-23,0,1,0.999999999999999,0.00132102073586047,0.00132629119243246,50,50,50.0029041867373,50,50,50,10.95494673375,10.9550576797234,10.9544511501033,0,90.4862042916667
0.02,0.5,4.15268895842504e-07,1.40495625843827e-07,0.999992290392411,3.6672308470863e-06,5.02783221988108e-21,0,0.999999999997976,1,0.000991790919247394,0.000994718394324399,50,50,50.0028084316223,50,50,50,12.649735467285,12.6483702099501,12.6491106406735,0,89.352009125
