ChannelWidth,GridLy,SourceY,MinimumC,NegativePointCount,TotalMass,NumericalPeak,PeakX,PeakY,CentroidX,CentroidY,ExpectedCentreX,CentroidErrorX,SigmaX,SigmaY,UnboundedSigma,SigmaYRatio,MeanConcentration,HasNegativeConcentration,Runtime_seconds
20,21,10,9.46962321219756e-18,0,0.999999999997976,0.00150171043280685,50,10,50.0028084316223,10,50,0.00280843162234845,12.649735467285,6.05272253650561,12.6491106406735,0.478509731509734,0.000238095238094756,0,34.6219276666667
30,31,15,5.96868333650911e-18,0,0.999999999997979,0.00109024866399005,50,15,50.0028084316223,15,50,0.00280843162234135,12.649735467285,8.7431558201427,12.6491106406735,0.69120715823521,0.000161290322580319,0,38.5999081666667
40,41,20,3.41551772153597e-18,0,0.999999999997975,0.00100192804624402,50,20,50.0028084316223,20,50,0.00280843162234135,12.649735467285,10.6868548174303,12.6491106406735,0.844870056165567,0.000121951219511948,0,46.031262875
60,61,30,7.02789847797561e-19,0,0.999999999997976,0.000991805299163896,50,30,50.0028084316223,30,50,0.00280843162232713,12.649735467285,12.3303901783547,12.6491106406735,0.974802935054267,8.19672131145882e-05,0,54.5860625
100,101,50,4.33759521022977e-21,0,0.999999999997971,0.000991790919247388,50,50,50.0028084316223,50,50,0.00280843162232713,12.649735467285,12.6485882033718,12.6491106406735,0.999958697704798,4.95049504949491e-05,0,77.1074585416667
